data,valor,series
1998-02-01,38.98,commodities_bcb_a
1998-03-01,38.16,commodities_bcb_a
1998-04-01,38.1,commodities_bcb_a
1998-05-01,38.21,commodities_bcb_a
1998-06-01,36.67,commodities_bcb_a
1998-07-01,36.11,commodities_bcb_a
1998-08-01,35.77,commodities_bcb_a
1998-09-01,35.21,commodities_bcb_a
1998-10-01,35.7,commodities_bcb_a
1998-11-01,35.75,commodities_bcb_a
1998-12-01,34.84,commodities_bcb_a
1999-01-01,43.05,commodities_bcb_a
1999-02-01,53.12,commodities_bcb_a
1999-03-01,51.53,commodities_bcb_a
1999-04-01,45.5,commodities_bcb_a
1999-05-01,45.16,commodities_bcb_a
1999-06-01,47.38,commodities_bcb_a
1999-07-01,46.72,commodities_bcb_a
1999-08-01,50.59,commodities_bcb_a
1999-09-01,52.19,commodities_bcb_a
1999-10-01,54.73,commodities_bcb_a
1999-11-01,54.35,commodities_bcb_a
1999-12-01,51.87,commodities_bcb_a
2000-01-01,51.41,commodities_bcb_a
2000-02-01,50.22,commodities_bcb_a
2000-03-01,49.51,commodities_bcb_a
2000-04-01,50.31,commodities_bcb_a
2000-05-01,53.18,commodities_bcb_a
2000-06-01,53.55,commodities_bcb_a
2000-07-01,53.56,commodities_bcb_a
2000-08-01,53.82,commodities_bcb_a
2000-09-01,55.32,commodities_bcb_a
2000-10-01,57.1,commodities_bcb_a
2000-11-01,59.02,commodities_bcb_a
2000-12-01,60.89,commodities_bcb_a
2001-01-01,60.81,commodities_bcb_a
2001-02-01,61.36,commodities_bcb_a
2001-03-01,61.26,commodities_bcb_a
2001-04-01,63.21,commodities_bcb_a
2001-05-01,66.07,commodities_bcb_a
2001-06-01,68.09,commodities_bcb_a
2001-07-01,69.56,commodities_bcb_a
2001-08-01,69.23,commodities_bcb_a
2001-09-01,69.58,commodities_bcb_a
2001-10-01,67.82,commodities_bcb_a
2001-11-01,64.33,commodities_bcb_a
2001-12-01,59.7,commodities_bcb_a
2002-01-01,61.05,commodities_bcb_a
2002-02-01,60.73,commodities_bcb_a
2002-03-01,58.55,commodities_bcb_a
2002-04-01,56.23,commodities_bcb_a
2002-05-01,60.35,commodities_bcb_a
2002-06-01,66.65,commodities_bcb_a
2002-07-01,75.86,commodities_bcb_a
2002-08-01,80.62,commodities_bcb_a
2002-09-01,89.93,commodities_bcb_a
2002-10-01,103.93,commodities_bcb_a
2002-11-01,101.27,commodities_bcb_a
2002-12-01,104.56,commodities_bcb_a
2003-01-01,101.45,commodities_bcb_a
2003-02-01,109.05,commodities_bcb_a
2003-03-01,100.18,commodities_bcb_a
2003-04-01,90.84,commodities_bcb_a
2003-05-01,87.33,commodities_bcb_a
2003-06-01,83.96,commodities_bcb_a
2003-07-01,85.02,commodities_bcb_a
2003-08-01,90.1,commodities_bcb_a
2003-09-01,89.66,commodities_bcb_a
2003-10-01,91.32,commodities_bcb_a
2003-11-01,94.54,commodities_bcb_a
2003-12-01,97.29,commodities_bcb_a
2004-01-01,93.51,commodities_bcb_a
2004-02-01,97.12,commodities_bcb_a
2004-03-01,101.58,commodities_bcb_a
2004-04-01,103.32,commodities_bcb_a
2004-05-01,112.08,commodities_bcb_a
2004-06-01,112.58,commodities_bcb_a
2004-07-01,107.88,commodities_bcb_a
2004-08-01,106.13,commodities_bcb_a
2004-09-01,104.61,commodities_bcb_a
2004-10-01,104.91,commodities_bcb_a
2004-11-01,103.13,commodities_bcb_a
2004-12-01,101.43,commodities_bcb_a
2005-01-01,101.11,commodities_bcb_a
2005-02-01,98.34,commodities_bcb_a
2005-03-01,106.82,commodities_bcb_a
2005-04-01,99.86,commodities_bcb_a
2005-05-01,93.24,commodities_bcb_a
2005-06-01,90.22,commodities_bcb_a
2005-07-01,88.68,commodities_bcb_a
2005-08-01,90.46,commodities_bcb_a
2005-09-01,90.96,commodities_bcb_a
2005-10-01,93.09,commodities_bcb_a
2005-11-01,91.8,commodities_bcb_a
2005-12-01,100.0,commodities_bcb_a
2006-01-01,101.81,commodities_bcb_a
2006-02-01,97.57,commodities_bcb_a
2006-03-01,93.81,commodities_bcb_a
2006-04-01,95.29,commodities_bcb_a
2006-05-01,99.12,commodities_bcb_a
2006-06-01,99.63,commodities_bcb_a
2006-07-01,99.75,commodities_bcb_a
2006-08-01,97.05,commodities_bcb_a
2006-09-01,94.66,commodities_bcb_a
2006-10-01,95.76,commodities_bcb_a
