data,valor,series
1998-02-01,46.62,commodities_bcb_agropecuaria_em_real
1998-03-01,45.4,commodities_bcb_agropecuaria_em_real
1998-04-01,44.87,commodities_bcb_agropecuaria_em_real
1998-05-01,45.28,commodities_bcb_agropecuaria_em_real
1998-06-01,43.31,commodities_bcb_agropecuaria_em_real
1998-07-01,42.52,commodities_bcb_agropecuaria_em_real
1998-08-01,42.09,commodities_bcb_agropecuaria_em_real
1998-09-01,41.03,commodities_bcb_agropecuaria_em_real
1998-10-01,41.88,commodities_bcb_agropecuaria_em_real
1998-11-01,42.29,commodities_bcb_agropecuaria_em_real
1998-12-01,41.29,commodities_bcb_agropecuaria_em_real
1999-01-01,51.13,commodities_bcb_agropecuaria_em_real
1999-02-01,62.55,commodities_bcb_agropecuaria_em_real
1999-03-01,59.65,commodities_bcb_agropecuaria_em_real
1999-04-01,51.82,commodities_bcb_agropecuaria_em_real
1999-05-01,51.53,commodities_bcb_agropecuaria_em_real
1999-06-01,54.19,commodities_bcb_agropecuaria_em_real
1999-07-01,52.24,commodities_bcb_agropecuaria_em_real
1999-08-01,56.6,commodities_bcb_agropecuaria_em_real
1999-09-01,58.22,commodities_bcb_agropecuaria_em_real
1999-10-01,61.29,commodities_bcb_agropecuaria_em_real
1999-11-01,61.16,commodities_bcb_agropecuaria_em_real
1999-12-01,58.06,commodities_bcb_agropecuaria_em_real
2000-01-01,57.22,commodities_bcb_agropecuaria_em_real
2000-02-01,55.61,commodities_bcb_agropecuaria_em_real
2000-03-01,55.12,commodities_bcb_agropecuaria_em_real
2000-04-01,56.73,commodities_bcb_agropecuaria_em_real
2000-05-01,59.72,commodities_bcb_agropecuaria_em_real
2000-06-01,59.81,commodities_bcb_agropecuaria_em_real
2000-07-01,59.82,commodities_bcb_agropecuaria_em_real
2000-08-01,59.81,commodities_bcb_agropecuaria_em_real
2000-09-01,60.65,commodities_bcb_agropecuaria_em_real
2000-10-01,63.24,commodities_bcb_agropecuaria_em_real
2000-11-01,65.09,commodities_bcb_agropecuaria_em_real
2000-12-01,66.36,commodities_bcb_agropecuaria_em_real
2001-01-01,66.68,commodities_bcb_agropecuaria_em_real
2001-02-01,67.54,commodities_bcb_agropecuaria_em_real
2001-03-01,67.03,commodities_bcb_agropecuaria_em_real
2001-04-01,68.72,commodities_bcb_agropecuaria_em_real
2001-05-01,72.17,commodities_bcb_agropecuaria_em_real
2001-06-01,75.06,commodities_bcb_agropecuaria_em_real
2001-07-01,77.52,commodities_bcb_agropecuaria_em_real
2001-08-01,75.88,commodities_bcb_agropecuaria_em_real
