data,valor,series
1998-02-01,30.64,commodities_bcb_c
1998-03-01,30.7,commodities_bcb_c
1998-04-01,30.92,commodities_bcb_c
1998-05-01,30.18,commodities_bcb_c
1998-06-01,29.57,commodities_bcb_c
1998-07-01,29.76,commodities_bcb_c
1998-08-01,29.85,commodities_bcb_c
1998-09-01,29.79,commodities_bcb_c
1998-10-01,29.12,commodities_bcb_c
1998-11-01,28.93,commodities_bcb_c
1998-12-01,28.44,commodities_bcb_c
1999-01-01,34.58,commodities_bcb_c
1999-02-01,44.54,commodities_bcb_c
1999-03-01,44.09,commodities_bcb_c
1999-04-01,40.68,commodities_bcb_c
1999-05-01,41.4,commodities_bcb_c
1999-06-01,42.5,commodities_bcb_c
1999-07-01,45.15,commodities_bcb_c
1999-08-01,48.13,commodities_bcb_c
1999-09-01,49.99,commodities_bcb_c
1999-10-01,51.66,commodities_bcb_c
1999-11-01,50.9,commodities_bcb_c
1999-12-01,50.2,commodities_bcb_c
2000-01-01,51.53,commodities_bcb_c
2000-02-01,50.04,commodities_bcb_c
2000-03-01,47.55,commodities_bcb_c
2000-04-01,46.29,commodities_bcb_c
2000-05-01,47.98,commodities_bcb_c
2000-06-01,47.83,commodities_bcb_c
2000-07-01,48.43,commodities_bcb_c
2000-08-01,48.27,commodities_bcb_c
2000-09-01,50.64,commodities_bcb_c
2000-10-01,49.45,commodities_bcb_c
2000-11-01,50.11,commodities_bcb_c
2000-12-01,52.04,commodities_bcb_c
2001-01-01,52.43,commodities_bcb_c
2001-02-01,54.0,commodities_bcb_c
2001-03-01,53.94,commodities_bcb_c
2001-04-01,55.8,commodities_bcb_c
2001-05-01,59.1,commodities_bcb_c
2001-06-01,59.3,commodities_bcb_c
2001-07-01,59.71,commodities_bcb_c
2001-08-01,59.54,commodities_bcb_c
2001-09-01,61.84,commodities_bcb_c
2001-10-01,62.13,commodities_bcb_c
2001-11-01,59.06,commodities_bcb_c
2001-12-01,54.97,commodities_bcb_c
2002-01-01,56.17,commodities_bcb_c
2002-02-01,56.77,commodities_bcb_c
2002-03-01,56.19,commodities_bcb_c
2002-04-01,55.32,commodities_bcb_c
2002-05-01,58.85,commodities_bcb_c
2002-06-01,65.58,commodities_bcb_c
2002-07-01,70.87,commodities_bcb_c
2002-08-01,72.25,commodities_bcb_c
2002-09-01,78.22,commodities_bcb_c
2002-10-01,89.68,commodities_bcb_c
2002-11-01,87.13,commodities_bcb_c
2002-12-01,88.39,commodities_bcb_c
2003-01-01,85.31,commodities_bcb_c
2003-02-01,93.36,commodities_bcb_c
2003-03-01,88.82,commodities_bcb_c
2003-04-01,78.27,commodities_bcb_c
2003-05-01,76.59,commodities_bcb_c
2003-06-01,74.44,commodities_bcb_c
