data,valor,series
1998-02-01,18.25,commodities_bcb_d
1998-03-01,18.11,commodities_bcb_d
1998-04-01,19.57,commodities_bcb_d
1998-05-01,19.34,commodities_bcb_d
1998-06-01,18.48,commodities_bcb_d
1998-07-01,18.03,commodities_bcb_d
1998-08-01,17.64,commodities_bcb_d
1998-09-01,18.53,commodities_bcb_d
1998-10-01,18.75,commodities_bcb_d
1998-11-01,17.66,commodities_bcb_d
1998-12-01,16.76,commodities_bcb_d
1999-01-01,20.76,commodities_bcb_d
1999-02-01,25.85,commodities_bcb_d
1999-03-01,28.32,commodities_bcb_d
1999-04-01,26.81,commodities_bcb_d
1999-05-01,25.35,commodities_bcb_d
1999-06-01,26.94,commodities_bcb_d
1999-07-01,28.06,commodities_bcb_d
1999-08-01,30.91,commodities_bcb_d
1999-09-01,32.16,commodities_bcb_d
1999-10-01,33.51,commodities_bcb_d
1999-11-01,32.45,commodities_bcb_d
1999-12-01,30.6,commodities_bcb_d
2000-01-01,29.87,commodities_bcb_d
2000-02-01,30.55,commodities_bcb_d
2000-03-01,30.74,commodities_bcb_d
2000-04-01,30.52,commodities_bcb_d
2000-05-01,34.12,commodities_bcb_d
2000-06-01,36.13,commodities_bcb_d
2000-07-01,35.51,commodities_bcb_d
2000-08-01,37.21,commodities_bcb_d
2000-09-01,40.57,commodities_bcb_d
2000-10-01,41.96,commodities_bcb_d
2000-11-01,45.32,commodities_bcb_d
2000-12-01,49.42,commodities_bcb_d
2001-01-01,47.13,commodities_bcb_d
2001-02-01,45.45,commodities_bcb_d
2001-03-01,46.77,commodities_bcb_d
2001-04-01,49.77,commodities_bcb_d
2001-05-01,49.99,commodities_bcb_d
2001-06-01,50.47,commodities_bcb_d
2001-07-01,49.33,commodities_bcb_d
2001-08-01,53.41,commodities_bcb_d
2001-09-01,48.18,commodities_bcb_d
2001-10-01,46.94,commodities_bcb_d
2001-11-01,40.25,commodities_bcb_d
2001-12-01,35.26,commodities_bcb_d
2002-01-01,34.15,commodities_bcb_d
2002-02-01,33.19,commodities_bcb_d
2002-03-01,35.93,commodities_bcb_d
2002-04-01,37.97,commodities_bcb_d
2002-05-01,41.21,commodities_bcb_d
2002-06-01,44.26,commodities_bcb_d
2002-07-01,48.42,commodities_bcb_d
2002-08-01,53.5,commodities_bcb_d
2002-09-01,60.65,commodities_bcb_d
2002-10-01,68.96,commodities_bcb_d
2002-11-01,61.62,commodities_bcb_d
2002-12-01,69.98,commodities_bcb_d
2003-01-01,70.78,commodities_bcb_d
2003-02-01,78.87,commodities_bcb_d
2003-03-01,73.63,commodities_bcb_d
2003-04-01,61.63,commodities_bcb_d
2003-05-01,63.09,commodities_bcb_d
2003-06-01,62.76,commodities_bcb_d
2003-07-01,59.65,commodities_bcb_d
2003-08-01,64.23,commodities_bcb_d
2003-09-01,62.73,commodities_bcb_d
2003-10-01,63.59,commodities_bcb_d
2003-11-01,63.95,commodities_bcb_d
2003-12-01,72.66,commodities_bcb_d
2004-01-01,73.89,commodities_bcb_d
2004-02-01,75.02,commodities_bcb_d
2004-03-01,81.57,commodities_bcb_d
2004-04-01,80.95,commodities_bcb_d
2004-05-01,94.13,commodities_bcb_d
2004-06-01,94.0,commodities_bcb_d
2004-07-01,97.5,commodities_bcb_d
2004-08-01,98.97,commodities_bcb_d
2004-09-01,98.06,commodities_bcb_d
2004-10-01,106.36,commodities_bcb_d
2004-11-01,100.68,commodities_bcb_d
2004-12-01,92.2,commodities_bcb_d
2005-01-01,90.4,commodities_bcb_d
2005-02-01,86.39,commodities_bcb_d
2005-03-01,97.81,commodities_bcb_d
2005-04-01,93.86,commodities_bcb_d
2005-05-01,84.99,commodities_bcb_d
