data,valor,series
1996-02-01,0.75,core_cpi_bcb
1996-03-01,0.51,core_cpi_bcb
1996-04-01,0.9,core_cpi_bcb
1996-05-01,1.47,core_cpi_bcb
1996-06-01,0.92,core_cpi_bcb
1996-07-01,0.93,core_cpi_bcb
1996-08-01,0.63,core_cpi_bcb
1996-09-01,0.43,core_cpi_bcb
1996-10-01,0.3,core_cpi_bcb
1996-11-01,0.5,core_cpi_bcb
1996-12-01,0.59,core_cpi_bcb
1997-01-01,0.85,core_cpi_bcb
1997-02-01,0.44,core_cpi_bcb
1997-03-01,0.2,core_cpi_bcb
1997-04-01,0.36,core_cpi_bcb
1997-05-01,0.6,core_cpi_bcb
1997-06-01,0.19,core_cpi_bcb
1997-07-01,0.26,core_cpi_bcb
1997-08-01,0.02,core_cpi_bcb
1997-09-01,0.09,core_cpi_bcb
1997-10-01,0.25,core_cpi_bcb
1997-11-01,-0.08,core_cpi_bcb
1997-12-01,0.13,core_cpi_bcb
1998-01-01,0.39,core_cpi_bcb
1998-02-01,0.34,core_cpi_bcb
1998-03-01,0.2,core_cpi_bcb
1998-04-01,0.01,core_cpi_bcb
1998-05-01,0.17,core_cpi_bcb
1998-06-01,0.0,core_cpi_bcb
1998-07-01,0.1,core_cpi_bcb
1998-08-01,-0.16,core_cpi_bcb
1998-09-01,-0.15,core_cpi_bcb
1998-10-01,0.06,core_cpi_bcb
1998-11-01,0.02,core_cpi_bcb
1998-12-01,0.0,core_cpi_bcb
1999-01-01,0.49,core_cpi_bcb
1999-02-01,0.25,core_cpi_bcb
1999-03-01,0.6,core_cpi_bcb
1999-04-01,0.61,core_cpi_bcb
1999-05-01,0.61,core_cpi_bcb
1999-06-01,0.25,core_cpi_bcb
1999-07-01,0.21,core_cpi_bcb
1999-08-01,0.26,core_cpi_bcb
1999-09-01,0.18,core_cpi_bcb
1999-10-01,1.05,core_cpi_bcb
1999-11-01,0.35,core_cpi_bcb
1999-12-01,0.28,core_cpi_bcb
2000-01-01,0.56,core_cpi_bcb
2000-02-01,0.45,core_cpi_bcb
2000-03-01,0.05,core_cpi_bcb
2000-04-01,0.87,core_cpi_bcb
2000-05-01,0.2,core_cpi_bcb
