data,valor,series
1963-01-01,0.0,gdp_bcb
1964-01-01,0.01,gdp_bcb
1965-01-01,0.02,gdp_bcb
1966-01-01,0.02,gdp_bcb
1967-01-01,0.03,gdp_bcb
1968-01-01,0.04,gdp_bcb
1969-01-01,0.06,gdp_bcb
1970-01-01,0.07,gdp_bcb
1971-01-01,0.09,gdp_bcb
1972-01-01,0.13,gdp_bcb
1973-01-01,0.19,gdp_bcb
1974-01-01,0.27,gdp_bcb
1975-01-01,0.38,gdp_bcb
1976-01-01,0.59,gdp_bcb
1977-01-01,0.91,gdp_bcb
1978-01-01,1.32,gdp_bcb
1979-01-01,2.17,gdp_bcb
1980-01-01,4.55,gdp_bcb
1981-01-01,8.73,gdp_bcb
1982-01-01,17.7,gdp_bcb
1983-01-01,39.78,gdp_bcb
1984-01-01,126.5,gdp_bcb
1985-01-01,475.53,gdp_bcb
1986-01-01,1273.68,gdp_bcb
1987-01-01,4037.81,gdp_bcb
1988-01-01,29375.63,gdp_bcb
1989-01-01,425595.31,gdp_bcb
1990-01-01,11548794.55,gdp_bcb
1991-01-01,60285999.27,gdp_bcb
1992-01-01,640958767.64,gdp_bcb
1993-01-01,14097114181.82,gdp_bcb
1994-01-01,349204679181.0,gdp_bcb
1995-01-01,705991552860.92,gdp_bcb
1996-01-01,854763607812.4,gdp_bcb
1997-01-01,952089196088.81,gdp_bcb
1998-01-01,1002351019213.48,gdp_bcb
1999-01-01,1087710456053.99,gdp_bcb
2000-01-01,1199092070940.21,gdp_bcb
2001-01-01,1315755467830.93,gdp_bcb
2002-01-01,1488787255158.37,gdp_bcb
2003-01-01,1717950396424.49,gdp_bcb
2004-01-01,1957751212962.56,gdp_bcb
2005-01-01,2170584503475.77,gdp_bcb
2006-01-01,2409449921542.59,gdp_bcb
2007-01-01,2720262937561.29,gdp_bcb
2008-01-01,3109803088949.22,gdp_bcb
2009-01-01,3333039355180.97,gdp_bcb
2010-01-01,3885846999836.84,gdp_bcb
2011-01-01,4376381999853.76,gdp_bcb
2012-01-01,4814759999634.49,gdp_bcb
2013-01-01,5331618999627.08,gdp_bcb
2014-01-01,5778953000008.59,gdp_bcb
2015-01-01,5995786999726.3,gdp_bcb
2016-01-01,6269328000659.18,gdp_bcb
2017-01-01,6585479000139.78,gdp_bcb
2018-01-01,7004140999893.37,gdp_bcb
2019-01-01,7389130999453.28,gdp_bcb
2020-01-01,7609597000575.82,gdp_bcb
2021-01-01,9012141999284.48,gdp_bcb
2022-01-01,10079676679176.0,gdp_bcb
2023-01-01,10856112278657.2,gdp_bcb
