data,valor,series
1980-02-01,4.62,ipca_bcb
1980-03-01,6.04,ipca_bcb
1980-04-01,5.29,ipca_bcb
1980-05-01,5.7,ipca_bcb
1980-06-01,5.31,ipca_bcb
1980-07-01,5.55,ipca_bcb
1980-08-01,4.95,ipca_bcb
1980-09-01,4.23,ipca_bcb
1980-10-01,9.48,ipca_bcb
1980-11-01,6.67,ipca_bcb
1980-12-01,6.61,ipca_bcb
1981-01-01,6.84,ipca_bcb
1981-02-01,6.4,ipca_bcb
1981-03-01,4.97,ipca_bcb
1981-04-01,6.46,ipca_bcb
1981-05-01,5.56,ipca_bcb
1981-06-01,5.52,ipca_bcb
1981-07-01,6.26,ipca_bcb
1981-08-01,5.5,ipca_bcb
1981-09-01,5.26,ipca_bcb
1981-10-01,5.08,ipca_bcb
1981-11-01,5.27,ipca_bcb
1981-12-01,5.93,ipca_bcb
1982-01-01,6.97,ipca_bcb
1982-02-01,6.64,ipca_bcb
1982-03-01,5.71,ipca_bcb
1982-04-01,5.89,ipca_bcb
1982-05-01,6.66,ipca_bcb
1982-06-01,7.1,ipca_bcb
1982-07-01,6.36,ipca_bcb
1982-08-01,5.97,ipca_bcb
1982-09-01,5.08,ipca_bcb
1982-10-01,4.44,ipca_bcb
1982-11-01,5.29,ipca_bcb
1982-12-01,7.81,ipca_bcb
1983-01-01,8.64,ipca_bcb
1983-02-01,7.86,ipca_bcb
1983-03-01,7.34,ipca_bcb
1983-04-01,6.58,ipca_bcb
1983-05-01,6.48,ipca_bcb
1983-06-01,9.88,ipca_bcb
1983-07-01,10.08,ipca_bcb
1983-08-01,9.11,ipca_bcb
1983-09-01,10.3,ipca_bcb
1983-10-01,8.87,ipca_bcb
1983-11-01,7.38,ipca_bcb
1983-12-01,8.68,ipca_bcb
1984-01-01,9.67,ipca_bcb
1984-02-01,9.5,ipca_bcb
1984-03-01,8.94,ipca_bcb
1984-04-01,9.54,ipca_bcb
1984-05-01,9.05,ipca_bcb
1984-06-01,10.08,ipca_bcb
1984-07-01,9.72,ipca_bcb
1984-08-01,9.35,ipca_bcb
1984-09-01,11.75,ipca_bcb
1984-10-01,10.44,ipca_bcb
1984-11-01,10.53,ipca_bcb
1984-12-01,11.98,ipca_bcb
1985-01-01,11.76,ipca_bcb
1985-02-01,10.87,ipca_bcb
1985-03-01,10.16,ipca_bcb
1985-04-01,8.2,ipca_bcb
1985-05-01,7.2,ipca_bcb
1985-06-01,8.49,ipca_bcb
1985-07-01,10.31,ipca_bcb
1985-08-01,12.05,ipca_bcb
1985-09-01,11.12,ipca_bcb
1985-10-01,10.62,ipca_bcb
1985-11-01,13.97,ipca_bcb
1985-12-01,15.07,ipca_bcb
1986-01-01,14.37,ipca_bcb
1986-02-01,12.72,ipca_bcb
1986-03-01,4.77,ipca_bcb
1986-04-01,0.78,ipca_bcb
1986-05-01,1.4,ipca_bcb
1986-06-01,1.27,ipca_bcb
1986-07-01,1.71,ipca_bcb
1986-08-01,3.55,ipca_bcb
1986-09-01,1.72,ipca_bcb
1986-10-01,1.9,ipca_bcb
1986-11-01,5.45,ipca_bcb
1986-12-01,11.65,ipca_bcb
1987-01-01,13.21,ipca_bcb
1987-02-01,12.64,ipca_bcb
1987-03-01,16.37,ipca_bcb
1987-04-01,19.1,ipca_bcb
1987-05-01,21.45,ipca_bcb
1987-06-01,19.71,ipca_bcb
1987-07-01,9.21,ipca_bcb
1987-08-01,4.87,ipca_bcb
1987-09-01,7.78,ipca_bcb
1987-10-01,11.22,ipca_bcb
1987-11-01,15.08,ipca_bcb
1987-12-01,14.15,ipca_bcb
1988-01-01,18.89,ipca_bcb
1988-02-01,15.7,ipca_bcb
1988-03-01,17.6,ipca_bcb
1988-04-01,19.29,ipca_bcb
1988-05-01,17.42,ipca_bcb
1988-06-01,22.0,ipca_bcb
1988-07-01,21.91,ipca_bcb
1988-08-01,21.59,ipca_bcb
1988-09-01,27.45,ipca_bcb
1988-10-01,25.62,ipca_bcb
1988-11-01,27.94,ipca_bcb
1988-12-01,28.7,ipca_bcb
1989-01-01,37.49,ipca_bcb
1989-02-01,16.78,ipca_bcb
1989-03-01,6.82,ipca_bcb
1989-04-01,8.33,ipca_bcb
1989-05-01,17.92,ipca_bcb
1989-06-01,28.65,ipca_bcb
1989-07-01,27.74,ipca_bcb
1989-08-01,33.71,ipca_bcb
1989-09-01,37.56,ipca_bcb
1989-10-01,39.77,ipca_bcb
1989-11-01,47.82,ipca_bcb
1989-12-01,51.5,ipca_bcb
1990-01-01,67.55,ipca_bcb
1990-02-01,75.73,ipca_bcb
1990-03-01,82.39,ipca_bcb
1990-04-01,15.52,ipca_bcb
1990-05-01,7.59,ipca_bcb
1990-06-01,11.75,ipca_bcb
1990-07-01,12.92,ipca_bcb
1990-08-01,12.88,ipca_bcb
1990-09-01,14.41,ipca_bcb
1990-10-01,14.36,ipca_bcb
1990-11-01,16.81,ipca_bcb
1990-12-01,18.44,ipca_bcb
1991-01-01,20.75,ipca_bcb
1991-02-01,20.72,ipca_bcb
1991-03-01,11.92,ipca_bcb
1991-04-01,4.99,ipca_bcb
1991-05-01,7.43,ipca_bcb
1991-06-01,11.19,ipca_bcb
1991-07-01,12.41,ipca_bcb
1991-08-01,15.63,ipca_bcb
1991-09-01,15.63,ipca_bcb
1991-10-01,20.23,ipca_bcb
1991-11-01,25.21,ipca_bcb
1991-12-01,23.71,ipca_bcb
1992-01-01,25.94,ipca_bcb
1992-02-01,24.32,ipca_bcb
1992-03-01,21.4,ipca_bcb
1992-04-01,19.93,ipca_bcb
1992-05-01,24.86,ipca_bcb
1992-06-01,20.21,ipca_bcb
1992-07-01,21.83,ipca_bcb
1992-08-01,22.14,ipca_bcb
1992-09-01,24.63,ipca_bcb
1992-10-01,25.24,ipca_bcb
1992-11-01,22.49,ipca_bcb
1992-12-01,25.24,ipca_bcb
1993-01-01,30.35,ipca_bcb
1993-02-01,24.98,ipca_bcb
1993-03-01,27.26,ipca_bcb
1993-04-01,27.75,ipca_bcb
1993-05-01,27.69,ipca_bcb
1993-06-01,30.07,ipca_bcb
1993-07-01,30.72,ipca_bcb
1993-08-01,32.96,ipca_bcb
1993-09-01,35.69,ipca_bcb
1993-10-01,33.92,ipca_bcb
1993-11-01,35.56,ipca_bcb
1993-12-01,36.84,ipca_bcb
1994-01-01,41.31,ipca_bcb
1994-02-01,40.27,ipca_bcb
1994-03-01,42.75,ipca_bcb
1994-04-01,42.68,ipca_bcb
1994-05-01,44.03,ipca_bcb
1994-06-01,47.43,ipca_bcb
1994-07-01,6.84,ipca_bcb
1994-08-01,1.86,ipca_bcb
1994-09-01,1.53,ipca_bcb
1994-10-01,2.62,ipca_bcb
1994-11-01,2.81,ipca_bcb
1994-12-01,1.71,ipca_bcb
1995-01-01,1.7,ipca_bcb
1995-02-01,1.02,ipca_bcb
1995-03-01,1.55,ipca_bcb
1995-04-01,2.43,ipca_bcb
1995-05-01,2.67,ipca_bcb
1995-06-01,2.26,ipca_bcb
1995-07-01,2.36,ipca_bcb
1995-08-01,0.99,ipca_bcb
1995-09-01,0.99,ipca_bcb
1995-10-01,1.41,ipca_bcb
1995-11-01,1.47,ipca_bcb
1995-12-01,1.56,ipca_bcb
1996-01-01,1.34,ipca_bcb
1996-02-01,1.03,ipca_bcb
1996-03-01,0.35,ipca_bcb
1996-04-01,1.26,ipca_bcb
1996-05-01,1.22,ipca_bcb
1996-06-01,1.19,ipca_bcb
1996-07-01,1.11,ipca_bcb
1996-08-01,0.44,ipca_bcb
1996-09-01,0.15,ipca_bcb
1996-10-01,0.3,ipca_bcb
1996-11-01,0.32,ipca_bcb
1996-12-01,0.47,ipca_bcb
1997-01-01,1.18,ipca_bcb
1997-02-01,0.5,ipca_bcb
1997-03-01,0.51,ipca_bcb
1997-04-01,0.88,ipca_bcb
1997-05-01,0.41,ipca_bcb
1997-06-01,0.54,ipca_bcb
1997-07-01,0.22,ipca_bcb
1997-08-01,-0.02,ipca_bcb
1997-09-01,0.06,ipca_bcb
1997-10-01,0.23,ipca_bcb
1997-11-01,0.17,ipca_bcb
1997-12-01,0.43,ipca_bcb
1998-01-01,0.71,ipca_bcb
1998-02-01,0.46,ipca_bcb
1998-03-01,0.34,ipca_bcb
1998-04-01,0.24,ipca_bcb
1998-05-01,0.5,ipca_bcb
1998-06-01,0.02,ipca_bcb
1998-07-01,-0.12,ipca_bcb
1998-08-01,-0.51,ipca_bcb
1998-09-01,-0.22,ipca_bcb
1998-10-01,0.02,ipca_bcb
1998-11-01,-0.12,ipca_bcb
1998-12-01,0.33,ipca_bcb
1999-01-01,0.7,ipca_bcb
1999-02-01,1.05,ipca_bcb
1999-03-01,1.1,ipca_bcb
1999-04-01,0.56,ipca_bcb
1999-05-01,0.3,ipca_bcb
1999-06-01,0.19,ipca_bcb
1999-07-01,1.09,ipca_bcb
1999-08-01,0.56,ipca_bcb
1999-09-01,0.31,ipca_bcb
1999-10-01,1.19,ipca_bcb
1999-11-01,0.95,ipca_bcb
1999-12-01,0.6,ipca_bcb
2000-01-01,0.62,ipca_bcb
2000-02-01,0.13,ipca_bcb
2000-03-01,0.22,ipca_bcb
2000-04-01,0.42,ipca_bcb
2000-05-01,0.01,ipca_bcb
2000-06-01,0.23,ipca_bcb
2000-07-01,1.61,ipca_bcb
2000-08-01,1.31,ipca_bcb
2000-09-01,0.23,ipca_bcb
2000-10-01,0.14,ipca_bcb
2000-11-01,0.32,ipca_bcb
2000-12-01,0.59,ipca_bcb
2001-01-01,0.57,ipca_bcb
2001-02-01,0.46,ipca_bcb
2001-03-01,0.38,ipca_bcb
2001-04-01,0.58,ipca_bcb
2001-05-01,0.41,ipca_bcb
2001-06-01,0.52,ipca_bcb
2001-07-01,1.33,ipca_bcb
2001-08-01,0.7,ipca_bcb
2001-09-01,0.28,ipca_bcb
2001-10-01,0.83,ipca_bcb
2001-11-01,0.71,ipca_bcb
2001-12-01,0.65,ipca_bcb
2002-01-01,0.52,ipca_bcb
2002-02-01,0.36,ipca_bcb
2002-03-01,0.6,ipca_bcb
2002-04-01,0.8,ipca_bcb
2002-05-01,0.21,ipca_bcb
2002-06-01,0.42,ipca_bcb
2002-07-01,1.19,ipca_bcb
2002-08-01,0.65,ipca_bcb
2002-09-01,0.72,ipca_bcb
2002-10-01,1.31,ipca_bcb
2002-11-01,3.02,ipca_bcb
2002-12-01,2.1,ipca_bcb
2003-01-01,2.25,ipca_bcb
2003-02-01,1.57,ipca_bcb
2003-03-01,1.23,ipca_bcb
2003-04-01,0.97,ipca_bcb
2003-05-01,0.61,ipca_bcb
2003-06-01,-0.15,ipca_bcb
2003-07-01,0.2,ipca_bcb
2003-08-01,0.34,ipca_bcb
2003-09-01,0.78,ipca_bcb
2003-10-01,0.29,ipca_bcb
2003-11-01,0.34,ipca_bcb
2003-12-01,0.52,ipca_bcb
2004-01-01,0.76,ipca_bcb
2004-02-01,0.61,ipca_bcb
2004-03-01,0.47,ipca_bcb
2004-04-01,0.37,ipca_bcb
2004-05-01,0.51,ipca_bcb
2004-06-01,0.71,ipca_bcb
2004-07-01,0.91,ipca_bcb
2004-08-01,0.69,ipca_bcb
2004-09-01,0.33,ipca_bcb
2004-10-01,0.44,ipca_bcb
2004-11-01,0.69,ipca_bcb
2004-12-01,0.86,ipca_bcb
2005-01-01,0.58,ipca_bcb
2005-02-01,0.59,ipca_bcb
2005-03-01,0.61,ipca_bcb
2005-04-01,0.87,ipca_bcb
2005-05-01,0.49,ipca_bcb
2005-06-01,-0.02,ipca_bcb
2005-07-01,0.25,ipca_bcb
2005-08-01,0.17,ipca_bcb
2005-09-01,0.35,ipca_bcb
2005-10-01,0.75,ipca_bcb
2005-11-01,0.55,ipca_bcb
2005-12-01,0.36,ipca_bcb
2006-01-01,0.59,ipca_bcb
2006-02-01,0.41,ipca_bcb
2006-03-01,0.43,ipca_bcb
2006-04-01,0.21,ipca_bcb
2006-05-01,0.1,ipca_bcb
2006-06-01,-0.21,ipca_bcb
2006-07-01,0.19,ipca_bcb
2006-08-01,0.05,ipca_bcb
2006-09-01,0.21,ipca_bcb
2006-10-01,0.33,ipca_bcb
2006-11-01,0.31,ipca_bcb
2006-12-01,0.48,ipca_bcb
2007-01-01,0.44,ipca_bcb
2007-02-01,0.44,ipca_bcb
2007-03-01,0.37,ipca_bcb
2007-04-01,0.25,ipca_bcb
2007-05-01,0.28,ipca_bcb
2007-06-01,0.28,ipca_bcb
2007-07-01,0.24,ipca_bcb
2007-08-01,0.47,ipca_bcb
2007-09-01,0.18,ipca_bcb
2007-10-01,0.3,ipca_bcb
2007-11-01,0.38,ipca_bcb
2007-12-01,0.74,ipca_bcb
2008-01-01,0.54,ipca_bcb
2008-02-01,0.49,ipca_bcb
2008-03-01,0.48,ipca_bcb
2008-04-01,0.55,ipca_bcb
2008-05-01,0.79,ipca_bcb
2008-06-01,0.74,ipca_bcb
2008-07-01,0.53,ipca_bcb
2008-08-01,0.28,ipca_bcb
2008-09-01,0.26,ipca_bcb
2008-10-01,0.45,ipca_bcb
2008-11-01,0.36,ipca_bcb
2008-12-01,0.28,ipca_bcb
2009-01-01,0.48,ipca_bcb
2009-02-01,0.55,ipca_bcb
2009-03-01,0.2,ipca_bcb
2009-04-01,0.48,ipca_bcb
2009-05-01,0.47,ipca_bcb
2009-06-01,0.36,ipca_bcb
2009-07-01,0.24,ipca_bcb
2009-08-01,0.15,ipca_bcb
2009-09-01,0.24,ipca_bcb
2009-10-01,0.28,ipca_bcb
2009-11-01,0.41,ipca_bcb
2009-12-01,0.37,ipca_bcb
2010-01-01,0.75,ipca_bcb
2010-02-01,0.78,ipca_bcb
2010-03-01,0.52,ipca_bcb
2010-04-01,0.57,ipca_bcb
2010-05-01,0.43,ipca_bcb
2010-06-01,0.0,ipca_bcb
2010-07-01,0.01,ipca_bcb
2010-08-01,0.04,ipca_bcb
2010-09-01,0.45,ipca_bcb
2010-10-01,0.75,ipca_bcb
2010-11-01,0.83,ipca_bcb
2010-12-01,0.63,ipca_bcb
2011-01-01,0.83,ipca_bcb
2011-02-01,0.8,ipca_bcb
2011-03-01,0.79,ipca_bcb
2011-04-01,0.77,ipca_bcb
2011-05-01,0.47,ipca_bcb
2011-06-01,0.15,ipca_bcb
2011-07-01,0.16,ipca_bcb
2011-08-01,0.37,ipca_bcb
2011-09-01,0.53,ipca_bcb
2011-10-01,0.43,ipca_bcb
2011-11-01,0.52,ipca_bcb
2011-12-01,0.5,ipca_bcb
2012-01-01,0.56,ipca_bcb
2012-02-01,0.45,ipca_bcb
2012-03-01,0.21,ipca_bcb
2012-04-01,0.64,ipca_bcb
2012-05-01,0.36,ipca_bcb
2012-06-01,0.08,ipca_bcb
2012-07-01,0.43,ipca_bcb
2012-08-01,0.41,ipca_bcb
2012-09-01,0.57,ipca_bcb
2012-10-01,0.59,ipca_bcb
2012-11-01,0.6,ipca_bcb
2012-12-01,0.79,ipca_bcb
2013-01-01,0.86,ipca_bcb
2013-02-01,0.6,ipca_bcb
2013-03-01,0.47,ipca_bcb
2013-04-01,0.55,ipca_bcb
2013-05-01,0.37,ipca_bcb
2013-06-01,0.26,ipca_bcb
2013-07-01,0.03,ipca_bcb
2013-08-01,0.24,ipca_bcb
2013-09-01,0.35,ipca_bcb
2013-10-01,0.57,ipca_bcb
2013-11-01,0.54,ipca_bcb
2013-12-01,0.92,ipca_bcb
2014-01-01,0.55,ipca_bcb
2014-02-01,0.69,ipca_bcb
2014-03-01,0.92,ipca_bcb
2014-04-01,0.67,ipca_bcb
2014-05-01,0.46,ipca_bcb
2014-06-01,0.4,ipca_bcb
2014-07-01,0.01,ipca_bcb
2014-08-01,0.25,ipca_bcb
2014-09-01,0.57,ipca_bcb
2014-10-01,0.42,ipca_bcb
2014-11-01,0.51,ipca_bcb
2014-12-01,0.78,ipca_bcb
2015-01-01,1.24,ipca_bcb
2015-02-01,1.22,ipca_bcb
2015-03-01,1.32,ipca_bcb
2015-04-01,0.71,ipca_bcb
2015-05-01,0.74,ipca_bcb
2015-06-01,0.79,ipca_bcb
2015-07-01,0.62,ipca_bcb
2015-08-01,0.22,ipca_bcb
2015-09-01,0.54,ipca_bcb
2015-10-01,0.82,ipca_bcb
2015-11-01,1.01,ipca_bcb
2015-12-01,0.96,ipca_bcb
2016-01-01,1.27,ipca_bcb
2016-02-01,0.9,ipca_bcb
2016-03-01,0.43,ipca_bcb
2016-04-01,0.61,ipca_bcb
2016-05-01,0.78,ipca_bcb
2016-06-01,0.35,ipca_bcb
2016-07-01,0.52,ipca_bcb
2016-08-01,0.44,ipca_bcb
2016-09-01,0.08,ipca_bcb
2016-10-01,0.26,ipca_bcb
2016-11-01,0.18,ipca_bcb
2016-12-01,0.3,ipca_bcb
2017-01-01,0.38,ipca_bcb
2017-02-01,0.33,ipca_bcb
2017-03-01,0.25,ipca_bcb
2017-04-01,0.14,ipca_bcb
2017-05-01,0.31,ipca_bcb
2017-06-01,-0.23,ipca_bcb
2017-07-01,0.24,ipca_bcb
2017-08-01,0.19,ipca_bcb
2017-09-01,0.16,ipca_bcb
2017-10-01,0.42,ipca_bcb
2017-11-01,0.28,ipca_bcb
2017-12-01,0.44,ipca_bcb
2018-01-01,0.29,ipca_bcb
2018-02-01,0.32,ipca_bcb
2018-03-01,0.09,ipca_bcb
2018-04-01,0.22,ipca_bcb
2018-05-01,0.4,ipca_bcb
2018-06-01,1.26,ipca_bcb
2018-07-01,0.33,ipca_bcb
2018-08-01,-0.09,ipca_bcb
2018-09-01,0.48,ipca_bcb
2018-10-01,0.45,ipca_bcb
2018-11-01,-0.21,ipca_bcb
2018-12-01,0.15,ipca_bcb
2019-01-01,0.32,ipca_bcb
2019-02-01,0.43,ipca_bcb
2019-03-01,0.75,ipca_bcb
2019-04-01,0.57,ipca_bcb
2019-05-01,0.13,ipca_bcb
2019-06-01,0.01,ipca_bcb
2019-07-01,0.19,ipca_bcb
2019-08-01,0.11,ipca_bcb
2019-09-01,-0.04,ipca_bcb
2019-10-01,0.1,ipca_bcb
2019-11-01,0.51,ipca_bcb
2019-12-01,1.15,ipca_bcb
2020-01-01,0.21,ipca_bcb
2020-02-01,0.25,ipca_bcb
2020-03-01,0.07,ipca_bcb
2020-04-01,-0.31,ipca_bcb
2020-05-01,-0.38,ipca_bcb
2020-06-01,0.26,ipca_bcb
2020-07-01,0.36,ipca_bcb
2020-08-01,0.24,ipca_bcb
2020-09-01,0.64,ipca_bcb
2020-10-01,0.86,ipca_bcb
2020-11-01,0.89,ipca_bcb
2020-12-01,1.35,ipca_bcb
2021-01-01,0.25,ipca_bcb
2021-02-01,0.86,ipca_bcb
2021-03-01,0.93,ipca_bcb
2021-04-01,0.31,ipca_bcb
2021-05-01,0.83,ipca_bcb
2021-06-01,0.53,ipca_bcb
2021-07-01,0.96,ipca_bcb
2021-08-01,0.87,ipca_bcb
2021-09-01,1.16,ipca_bcb
2021-10-01,1.25,ipca_bcb
2021-11-01,0.95,ipca_bcb
2021-12-01,0.73,ipca_bcb
2022-01-01,0.54,ipca_bcb
2022-02-01,1.01,ipca_bcb
2022-03-01,1.62,ipca_bcb
2022-04-01,1.06,ipca_bcb
2022-05-01,0.47,ipca_bcb
2022-06-01,0.67,ipca_bcb
2022-07-01,-0.68,ipca_bcb
2022-08-01,-0.36,ipca_bcb
2022-09-01,-0.29,ipca_bcb
2022-10-01,0.59,ipca_bcb
2022-11-01,0.41,ipca_bcb
