data,valor,series
2000-08-31,278.29998779296875,GC=F
2000-09-30,271.59999084472656,GC=F
2000-10-31,264.8999938964844,GC=F
2000-11-30,270.1000061035156,GC=F
2000-12-31,267.8500061035156,GC=F
2001-01-31,265.6000061035156,GC=F
2001-02-28,266.79998779296875,GC=F
2001-03-31,265.3999938964844,GC=F
2001-04-30,264.0,GC=F
2001-05-31,265.29998779296875,GC=F
2001-06-30,265.75,GC=F
2001-07-31,266.20001220703125,GC=F
2001-08-31,274.3999938964844,GC=F
2001-09-30,276.9499969482422,GC=F
2001-10-31,279.5,GC=F
2001-11-30,273.8999938964844,GC=F
2001-12-31,278.70001220703125,GC=F
2002-01-31,282.1000061035156,GC=F
2002-02-28,296.70001220703125,GC=F
2002-03-31,302.8000030517578,GC=F
2002-04-30,308.8999938964844,GC=F
2002-05-31,326.5,GC=F
2002-06-30,314.8500061035156,GC=F
2002-07-31,303.20001220703125,GC=F
2002-08-31,313.5500030517578,GC=F
2002-09-30,323.8999938964844,GC=F
2002-10-31,318.0,GC=F
2002-11-30,332.8000030517578,GC=F
2002-12-31,347.6000061035156,GC=F
2003-01-31,368.2999877929688,GC=F
2003-02-28,350.20001220703125,GC=F
2003-03-31,335.8999938964844,GC=F
2003-04-30,339.1000061035156,GC=F
2003-05-31,342.5500030517578,GC=F
2003-06-30,346.0,GC=F
2003-07-31,354.0,GC=F
2003-08-31,369.6999969482422,GC=F
2003-09-30,385.3999938964844,GC=F
2003-10-31,384.5,GC=F
2003-11-30,400.1000061035156,GC=F
2003-12-31,415.7000122070313,GC=F
2004-01-31,419.5666707356771,GC=F
2004-02-29,423.433329264323,GC=F
2004-03-31,427.2999877929688,GC=F
2004-04-30,387.0,GC=F
2004-05-31,389.8000030517578,GC=F
2004-06-30,392.6000061035156,GC=F
2004-07-31,401.5,GC=F
2004-08-31,410.3999938964844,GC=F
2004-09-30,418.7000122070313,GC=F
2004-10-31,435.00000000000006,GC=F
2004-11-30,451.2999877929688,GC=F
2004-12-31,436.5499877929688,GC=F
2005-01-31,421.7999877929688,GC=F
2005-02-28,436.5,GC=F
2005-03-31,428.7000122070313,GC=F
2005-04-30,422.50000000000006,GC=F
2005-05-31,416.2999877929688,GC=F
2005-06-30,435.8999938964844,GC=F
2005-07-31,434.84999084472656,GC=F
2005-08-31,433.7999877929688,GC=F
2005-09-30,469.0,GC=F
2005-10-31,465.1000061035156,GC=F
2005-11-30,494.6000061035156,GC=F
2005-12-31,532.6999969482422,GC=F
2006-01-31,570.7999877929688,GC=F
2006-02-28,561.5999755859375,GC=F
2006-03-31,581.7999877929688,GC=F
2006-04-30,612.1499938964844,GC=F
2006-05-31,642.5,GC=F
2006-06-30,613.5,GC=F
2006-07-31,634.2000122070312,GC=F
2006-08-31,625.9000244140625,GC=F
2006-09-30,615.0,GC=F
2006-10-31,604.0999755859375,GC=F
2006-11-30,646.9000244140625,GC=F
2006-12-31,649.4500122070312,GC=F
2007-01-31,652.0,GC=F
2007-02-28,669.4000244140625,GC=F
2007-03-31,674.9500122070312,GC=F
2007-04-30,680.5,GC=F
2007-05-31,661.0,GC=F
2007-06-30,663.9500122070312,GC=F
2007-07-31,666.9000244140625,GC=F
