data,valor,series
2000-01-31,111.0999984741211,KC=F
2000-02-29,99.9000015258789,KC=F
2000-03-31,103.6999969482422,KC=F
2000-04-30,98.3499984741211,KC=F
2000-05-31,93.0,KC=F
2000-06-30,84.8499984741211,KC=F
2000-07-31,86.44999694824219,KC=F
2000-08-31,74.5,KC=F
2000-09-30,74.45000076293945,KC=F
2000-10-31,74.4000015258789,KC=F
2000-11-30,67.19999694824219,KC=F
2000-12-31,65.4749984741211,KC=F
2001-01-31,63.75,KC=F
2001-02-28,63.900001525878906,KC=F
2001-03-31,62.875,KC=F
2001-04-30,61.84999847412109,KC=F
2001-05-31,57.150001525878906,KC=F
2001-06-30,54.55000114440918,KC=F
2001-07-31,51.95000076293945,KC=F
2001-08-31,50.5,KC=F
2001-09-30,47.20000076293945,KC=F
2001-10-31,43.900001525878906,KC=F
2001-11-30,42.59999847412109,KC=F
2001-12-31,43.84999847412109,KC=F
2002-01-31,45.09999847412109,KC=F
2002-02-28,44.75,KC=F
2002-03-31,47.72500038146973,KC=F
2002-04-30,50.70000076293945,KC=F
2002-05-31,51.900001525878906,KC=F
2002-06-30,49.35000038146973,KC=F
2002-07-31,46.79999923706055,KC=F
2002-08-31,50.64999961853027,KC=F
2002-09-30,54.5,KC=F
2002-10-31,65.94999694824219,KC=F
2002-11-30,63.07499885559082,KC=F
2002-12-31,60.20000076293945,KC=F
2003-01-31,65.30000305175781,KC=F
2003-02-28,56.84999847412109,KC=F
2003-03-31,58.650001525878906,KC=F
2003-04-30,68.25,KC=F
2003-05-31,63.57500076293945,KC=F
2003-06-30,58.900001525878906,KC=F
2003-07-31,63.45000076293945,KC=F
2003-08-31,63.17500114440918,KC=F
2003-09-30,62.900001525878906,KC=F
2003-10-31,58.650001525878906,KC=F
2003-11-30,61.79999923706055,KC=F
2003-12-31,64.94999694824219,KC=F
2004-01-31,67.88333129882812,KC=F
2004-02-29,70.81666564941406,KC=F
2004-03-31,73.75,KC=F
2004-04-30,67.1500015258789,KC=F
2004-05-31,70.125,KC=F
2004-06-30,73.0999984741211,KC=F
2004-07-31,71.20000076293945,KC=F
2004-08-31,69.30000305175781,KC=F
2004-09-30,82.3499984741211,KC=F
2004-10-31,88.39999771118164,KC=F
2004-11-30,94.4499969482422,KC=F
2004-12-31,99.89999771118164,KC=F
2005-01-31,105.3499984741211,KC=F
2005-02-28,119.1500015258789,KC=F
2005-03-31,126.4000015258789,KC=F
2005-04-30,122.375,KC=F
2005-05-31,118.3499984741211,KC=F
2005-06-30,104.6500015258789,KC=F
2005-07-31,101.20000076293945,KC=F
2005-08-31,97.75,KC=F
2005-09-30,93.4499969482422,KC=F
2005-10-31,96.6500015258789,KC=F
2005-11-30,93.0,KC=F
2005-12-31,105.5999984741211,KC=F
2006-01-31,118.1999969482422,KC=F
2006-02-28,111.8000030517578,KC=F
2006-03-31,107.0,KC=F
