data,valor,series
2000-07-31,180.25,ZC=F
2000-08-31,182.0,ZC=F
2000-09-30,189.66666666666666,ZC=F
2000-10-31,197.33333333333334,ZC=F
2000-11-30,205.0,ZC=F
2000-12-31,206.75,ZC=F
2001-01-31,208.5,ZC=F
2001-02-28,211.25,ZC=F
2001-03-31,203.125,ZC=F
2001-04-30,195.0,ZC=F
2001-05-31,190.25,ZC=F
2001-06-30,201.625,ZC=F
2001-07-31,213.0,ZC=F
2001-08-31,217.25,ZC=F
2001-09-30,209.125,ZC=F
2001-10-31,201.0,ZC=F
2001-11-30,202.0,ZC=F
2001-12-31,199.75,ZC=F
2002-01-31,206.5,ZC=F
2002-02-28,200.0,ZC=F
2002-03-31,196.75,ZC=F
2002-04-30,193.5,ZC=F
2002-05-31,214.0,ZC=F
2002-06-30,230.625,ZC=F
2002-07-31,247.25,ZC=F
2002-08-31,249.375,ZC=F
2002-09-30,251.5,ZC=F
2002-10-31,247.5,ZC=F
2002-11-30,241.625,ZC=F
2002-12-31,235.75,ZC=F
2003-01-31,238.25,ZC=F
2003-02-28,231.75,ZC=F
2003-03-31,236.5,ZC=F
2003-04-30,232.75,ZC=F
2003-05-31,230.625,ZC=F
2003-06-30,228.5,ZC=F
2003-07-31,206.0,ZC=F
2003-08-31,213.125,ZC=F
2003-09-30,220.25,ZC=F
2003-10-31,247.25,ZC=F
2003-11-30,246.625,ZC=F
2003-12-31,246.0,ZC=F
2004-01-31,270.6666666666667,ZC=F
2004-02-29,295.3333333333333,ZC=F
2004-03-31,320.0,ZC=F
2004-04-30,316.5,ZC=F
2004-05-31,287.0,ZC=F
2004-06-30,257.5,ZC=F
2004-07-31,242.625,ZC=F
2004-08-31,227.75,ZC=F
2004-09-30,205.5,ZC=F
2004-10-31,199.0,ZC=F
2004-11-30,192.5,ZC=F
2004-12-31,204.75,ZC=F
2005-01-31,197.0,ZC=F
2005-02-28,214.5,ZC=F
2005-03-31,213.0,ZC=F
2005-04-30,217.5,ZC=F
2005-05-31,222.0,ZC=F
2005-06-30,212.25,ZC=F
2005-07-31,206.875,ZC=F
2005-08-31,201.5,ZC=F
2005-09-30,205.5,ZC=F
2005-10-31,196.25,ZC=F
2005-11-30,187.5,ZC=F
2005-12-31,203.125,ZC=F
2006-01-31,218.75,ZC=F
2006-02-28,228.0,ZC=F
2006-03-31,236.0,ZC=F
2006-04-30,243.625,ZC=F
2006-05-31,251.25,ZC=F
2006-06-30,235.5,ZC=F
2006-07-31,239.0,ZC=F
2006-08-31,232.0,ZC=F
2006-09-30,276.375,ZC=F
2006-10-31,320.75,ZC=F
2006-11-30,377.0,ZC=F
2006-12-31,390.5,ZC=F
2007-01-31,404.0,ZC=F
2007-02-28,425.25,ZC=F
2007-03-31,391.625,ZC=F
2007-04-30,358.0,ZC=F
2007-05-31,390.25,ZC=F
2007-06-30,358.0,ZC=F
2007-07-31,325.75,ZC=F
2007-08-31,324.0,ZC=F
2007-09-30,349.75,ZC=F
2007-10-31,375.5,ZC=F
2007-11-30,384.5,ZC=F
2007-12-31,455.5,ZC=F
2008-01-31,501.25,ZC=F
2008-02-29,546.0,ZC=F
2008-03-31,567.25,ZC=F
2008-04-30,600.25,ZC=F
