data,valor,series
2000-09-30,,ZS=F
2000-10-31,455.25,ZS=F
2000-11-30,502.0,ZS=F
2000-12-31,480.875,ZS=F
2001-01-31,459.75,ZS=F
2001-02-28,454.75,ZS=F
2001-03-31,438.375,ZS=F
2001-04-30,422.0,ZS=F
2001-05-31,438.0,ZS=F
2001-06-30,467.125,ZS=F
2001-07-31,496.25,ZS=F
2001-08-31,474.5,ZS=F
2001-09-30,452.75,ZS=F
2001-10-31,431.0,ZS=F
2001-11-30,439.5,ZS=F
2001-12-31,423.75,ZS=F
2002-01-31,429.5,ZS=F
2002-02-28,442.5,ZS=F
2002-03-31,452.375,ZS=F
2002-04-30,462.25,ZS=F
2002-05-31,508.75,ZS=F
2002-06-30,538.125,ZS=F
2002-07-31,567.5,ZS=F
2002-08-31,556.625,ZS=F
2002-09-30,545.75,ZS=F
2002-10-31,565.25,ZS=F
2002-11-30,567.375,ZS=F
2002-12-31,569.5,ZS=F
2003-01-31,564.0,ZS=F
2003-02-28,577.0,ZS=F
2003-03-31,574.5,ZS=F
2003-04-30,623.5,ZS=F
2003-05-31,622.375,ZS=F
2003-06-30,621.25,ZS=F
2003-07-31,532.5,ZS=F
2003-08-31,604.875,ZS=F
2003-09-30,677.25,ZS=F
2003-10-31,794.25,ZS=F
2003-11-30,791.625,ZS=F
2003-12-31,789.0,ZS=F
2004-01-31,857.6666666666666,ZS=F
2004-02-29,926.3333333333334,ZS=F
2004-03-31,995.0,ZS=F
2004-04-30,1034.0,ZS=F
2004-05-31,963.5,ZS=F
2004-06-30,893.0,ZS=F
2004-07-31,760.125,ZS=F
2004-08-31,627.25,ZS=F
2004-09-30,527.0,ZS=F
2004-10-31,530.875,ZS=F
2004-11-30,534.75,ZS=F
2004-12-31,547.75,ZS=F
2005-01-31,514.75,ZS=F
2005-02-28,615.5,ZS=F
2005-03-31,627.5,ZS=F
2005-04-30,653.875,ZS=F
2005-05-31,680.25,ZS=F
2005-06-30,651.75,ZS=F
2005-07-31,619.25,ZS=F
2005-08-31,586.75,ZS=F
2005-09-30,573.25,ZS=F
2005-10-31,564.75,ZS=F
2005-11-30,558.0,ZS=F
2005-12-31,576.125,ZS=F
2006-01-31,594.25,ZS=F
2006-02-28,580.25,ZS=F
2006-03-31,571.5,ZS=F
2006-04-30,575.5,ZS=F
2006-05-31,579.5,ZS=F
2006-06-30,594.75,ZS=F
2006-07-31,579.5,ZS=F
2006-08-31,542.25,ZS=F
2006-09-30,586.25,ZS=F
2006-10-31,630.25,ZS=F
2006-11-30,685.5,ZS=F
2006-12-31,702.5,ZS=F
2007-01-31,719.5,ZS=F
2007-02-28,773.25,ZS=F
2007-03-31,750.875,ZS=F
2007-04-30,728.5,ZS=F
2007-05-31,806.25,ZS=F
2007-06-30,820.125,ZS=F
2007-07-31,834.0,ZS=F
2007-08-31,868.0,ZS=F
2007-09-30,939.0,ZS=F
2007-10-31,1010.0,ZS=F
2007-11-30,1080.0,ZS=F
2007-12-31,1199.0,ZS=F
2008-01-31,1274.5,ZS=F
2008-02-29,1522.0,ZS=F
2008-03-31,1197.25,ZS=F
2008-04-30,1301.75,ZS=F
2008-05-31,1453.375,ZS=F
2008-06-30,1605.0,ZS=F
2008-07-31,1395.75,ZS=F
2008-08-31,1220.375,ZS=F
2008-09-30,1045.0,ZS=F
2008-10-31,925.25,ZS=F
2008-11-30,948.75,ZS=F
2008-12-31,972.25,ZS=F
2009-01-31,965.5,ZS=F
2009-02-28,958.75,ZS=F
2009-03-31,952.0,ZS=F
2009-04-30,1070.0,ZS=F
2009-05-31,1148.125,ZS=F
2009-06-30,1226.25,ZS=F
2009-07-31,1134.0,ZS=F
2009-08-31,1100.0,ZS=F
2009-09-30,927.0,ZS=F
2009-10-31,993.75,ZS=F
2009-11-30,1060.5,ZS=F
2009-12-31,1039.75,ZS=F
2010-01-31,1006.8333333333334,ZS=F
2010-02-28,973.9166666666666,ZS=F
2010-03-31,941.0,ZS=F
2010-04-30,989.5,ZS=F
2010-05-31,969.0,ZS=F
2010-06-30,948.5,ZS=F
2010-07-31,978.25,ZS=F
2010-08-31,1008.0,ZS=F
2010-09-30,1106.75,ZS=F
2010-10-31,1174.875,ZS=F
2010-11-30,1243.0,ZS=F
2010-12-31,1393.75,ZS=F
2011-01-31,1413.0,ZS=F
2011-02-28,1357.25,ZS=F
2011-03-31,1410.25,ZS=F
2011-04-30,1393.125,ZS=F
2011-05-31,1376.0,ZS=F
2011-06-30,1306.25,ZS=F
