data,valor,series
2000-01-31,1394.4599609375,^GSPC
2000-02-29,1366.4200439453125,^GSPC
2000-03-31,1498.5799560546875,^GSPC
2000-04-30,1459.5899658203125,^GSPC
2000-05-31,1420.5999755859375,^GSPC
2000-06-30,1454.5999755859375,^GSPC
2000-07-31,1430.8299560546875,^GSPC
2000-08-31,1517.6800537109375,^GSPC
2000-09-30,1473.5400390625,^GSPC
2000-10-31,1429.4000244140625,^GSPC
2000-11-30,1314.949951171875,^GSPC
2000-12-31,1340.47998046875,^GSPC
2001-01-31,1366.010009765625,^GSPC
2001-02-28,1239.93994140625,^GSPC
2001-03-31,1244.699951171875,^GSPC
2001-04-30,1249.4599609375,^GSPC
2001-05-31,1255.8199462890625,^GSPC
2001-06-30,1233.5249633789062,^GSPC
2001-07-31,1211.22998046875,^GSPC
2001-08-31,1133.5799560546875,^GSPC
2001-09-30,1096.6799926757812,^GSPC
2001-10-31,1059.780029296875,^GSPC
2001-11-30,1139.449951171875,^GSPC
2001-12-31,1148.0799560546875,^GSPC
2002-01-31,1130.199951171875,^GSPC
2002-02-28,1106.72998046875,^GSPC
2002-03-31,1091.8250122070312,^GSPC
2002-04-30,1076.9200439453125,^GSPC
2002-05-31,1067.1400146484375,^GSPC
2002-06-30,989.3800048828125,^GSPC
2002-07-31,911.6199951171876,^GSPC
2002-08-31,863.4500122070312,^GSPC
2002-09-30,815.280029296875,^GSPC
2002-10-31,885.760009765625,^GSPC
2002-11-30,882.7900085449219,^GSPC
2002-12-31,879.8200073242188,^GSPC
2003-01-31,855.7000122070312,^GSPC
2003-02-28,841.1500244140625,^GSPC
2003-03-31,848.1799926757812,^GSPC
2003-04-30,916.9199829101562,^GSPC
2003-05-31,945.7099914550781,^GSPC
2003-06-30,974.5,^GSPC
2003-07-31,990.3099975585938,^GSPC
2003-08-31,993.1399841308594,^GSPC
2003-09-30,995.969970703125,^GSPC
2003-10-31,1050.7099609375,^GSPC
2003-11-30,1081.3150024414062,^GSPC
2003-12-31,1111.9200439453125,^GSPC
2004-01-31,1116.683349609375,^GSPC
2004-02-29,1121.4466552734375,^GSPC
2004-03-31,1126.2099609375,^GSPC
2004-04-30,1107.300048828125,^GSPC
2004-05-31,1124.0700073242188,^GSPC
2004-06-30,1140.8399658203125,^GSPC
2004-07-31,1122.5399780273438,^GSPC
2004-08-31,1104.239990234375,^GSPC
2004-09-30,1114.5799560546875,^GSPC
2004-10-31,1144.199951171875,^GSPC
2004-11-30,1173.8199462890625,^GSPC
2004-12-31,1211.9200439453125,^GSPC
2005-01-31,1181.27001953125,^GSPC
2005-02-28,1203.5999755859375,^GSPC
2005-03-31,1180.5899658203125,^GSPC
2005-04-30,1186.0449829101562,^GSPC
2005-05-31,1191.5,^GSPC
2005-06-30,1191.3299560546875,^GSPC
2005-07-31,1205.8299560546875,^GSPC
2005-08-31,1220.3299560546875,^GSPC
2005-09-30,1228.81005859375,^GSPC
2005-10-31,1207.010009765625,^GSPC
2005-11-30,1249.47998046875,^GSPC
2005-12-31,1264.7799682617188,^GSPC
2006-01-31,1280.0799560546875,^GSPC
2006-02-28,1280.6600341796875,^GSPC
2006-03-31,1294.8699951171875,^GSPC
2006-04-30,1282.47998046875,^GSPC
2006-05-31,1270.0899658203125,^GSPC
2006-06-30,1270.199951171875,^GSPC
2006-07-31,1276.6600341796875,^GSPC
2006-08-31,1303.8199462890625,^GSPC
2006-09-30,1340.8799438476562,^GSPC
2006-10-31,1377.93994140625,^GSPC
2006-11-30,1400.6300048828125,^GSPC
2006-12-31,1419.4349975585938,^GSPC
2007-01-31,1438.239990234375,^GSPC
2007-02-28,1406.8199462890625,^GSPC
2007-03-31,1444.594970703125,^GSPC
2007-04-30,1482.3699951171875,^GSPC
2007-05-31,1530.6199951171875,^GSPC
2007-06-30,1492.9450073242188,^GSPC
2007-07-31,1455.27001953125,^GSPC
2007-08-31,1473.989990234375,^GSPC
2007-09-30,1511.6849975585938,^GSPC
2007-10-31,1549.3800048828125,^GSPC
2007-11-30,1481.1400146484375,^GSPC
2007-12-31,1468.3599853515625,^GSPC
2008-01-31,1378.550048828125,^GSPC
2008-02-29,1330.6300048828125,^GSPC
2008-03-31,1322.699951171875,^GSPC
2008-04-30,1385.5899658203125,^GSPC
2008-05-31,1332.7949829101562,^GSPC
2008-06-30,1280.0,^GSPC
2008-07-31,1267.3800048828125,^GSPC
2008-08-31,1216.8699951171875,^GSPC
2008-09-30,1166.3599853515625,^GSPC
2008-10-31,968.75,^GSPC
2008-11-30,936.0,^GSPC
2008-12-31,903.25,^GSPC
2009-01-31,868.1233317057291,^GSPC
2009-02-28,832.9966634114584,^GSPC
2009-03-31,797.8699951171875,^GSPC
2009-04-30,872.8099975585938,^GSPC
2009-05-31,896.0650024414062,^GSPC
2009-06-30,919.3200073242188,^GSPC
2009-07-31,987.47998046875,^GSPC
2009-08-31,1020.6199951171876,^GSPC
2009-09-30,1057.0799560546875,^GSPC
2009-10-31,1076.35498046875,^GSPC
2009-11-30,1095.6300048828125,^GSPC
2009-12-31,1115.0999755859375,^GSPC
2010-01-31,1133.2100016276042,^GSPC
2010-02-28,1151.3200276692708,^GSPC
2010-03-31,1169.4300537109375,^GSPC
2010-04-30,1186.68994140625,^GSPC
2010-05-31,1108.699951171875,^GSPC
2010-06-30,1030.7099609375,^GSPC
2010-07-31,1040.0199584960938,^GSPC
2010-08-31,1049.3299560546875,^GSPC
2010-09-30,1141.199951171875,^GSPC
2010-10-31,1160.875,^GSPC
2010-11-30,1180.550048828125,^GSPC
2010-12-31,1257.6400146484375,^GSPC
2011-01-31,1286.1199951171875,^GSPC
2011-02-28,1327.219970703125,^GSPC
2011-03-31,1325.8299560546875,^GSPC
2011-04-30,1335.5149536132812,^GSPC
2011-05-31,1345.199951171875,^GSPC
2011-06-30,1320.6400146484375,^GSPC
2011-07-31,1269.7650146484375,^GSPC
2011-08-31,1218.8900146484375,^GSPC
2011-09-30,1131.4200439453125,^GSPC
2011-10-31,1253.300048828125,^GSPC
2011-11-30,1246.9599609375,^GSPC
2011-12-31,1279.6849975585938,^GSPC
2012-01-31,1312.4100341796875,^GSPC
2012-02-29,1365.6800537109375,^GSPC
2012-03-31,1381.7950439453125,^GSPC
2012-04-30,1397.9100341796875,^GSPC
2012-05-31,1310.3299560546875,^GSPC
2012-06-30,1344.824951171875,^GSPC
2012-07-31,1379.3199462890625,^GSPC
2012-08-31,1406.5799560546875,^GSPC
2012-09-30,1409.3699951171875,^GSPC
2012-10-31,1412.1600341796875,^GSPC
2012-11-30,1416.1800537109375,^GSPC
2012-12-31,1426.18994140625,^GSPC
2013-01-31,1498.1099853515625,^GSPC
2013-02-28,1514.6800537109375,^GSPC
2013-03-31,1556.125,^GSPC
2013-04-30,1597.5699462890625,^GSPC
2013-05-31,1630.739990234375,^GSPC
2013-06-30,1658.2349853515625,^GSPC
2013-07-31,1685.72998046875,^GSPC
2013-08-31,1683.6400146484375,^GSPC
2013-09-30,1681.550048828125,^GSPC
2013-10-31,1756.5400390625,^GSPC
2013-11-30,1802.4500122070312,^GSPC
2013-12-31,1848.3599853515625,^GSPC
2014-01-31,1782.5899658203125,^GSPC
2014-02-28,1859.449951171875,^GSPC
2014-03-31,1872.3399658203125,^GSPC
2014-04-30,1883.949951171875,^GSPC
2014-05-31,1922.0899658203125,^GSPC
2014-06-30,1960.22998046875,^GSPC
2014-07-31,1930.6700439453125,^GSPC
2014-08-31,1951.4800415039062,^GSPC
2014-09-30,1972.2900390625,^GSPC
2014-10-31,2018.050048828125,^GSPC
2014-11-30,2038.4749755859375,^GSPC
2014-12-31,2058.89990234375,^GSPC
2015-01-31,2061.8965657552085,^GSPC
2015-02-28,2064.8932291666665,^GSPC
2015-03-31,2067.889892578125,^GSPC
2015-04-30,2085.510009765625,^GSPC
2015-05-31,2074.31005859375,^GSPC
2015-06-30,2063.110107421875,^GSPC
2015-07-31,2103.840087890625,^GSPC
2015-08-31,1972.1800537109373,^GSPC
2015-09-30,1920.030029296875,^GSPC
2015-10-31,2000.219970703125,^GSPC
2015-11-30,2080.409912109375,^GSPC
2015-12-31,2043.93994140625,^GSPC
2016-01-31,1988.0849609375,^GSPC
2016-02-29,1932.22998046875,^GSPC
2016-03-31,2059.739990234375,^GSPC
2016-04-30,2078.344970703125,^GSPC
2016-05-31,2096.949951171875,^GSPC
2016-06-30,2098.860107421875,^GSPC
2016-07-31,2134.905029296875,^GSPC
2016-08-31,2170.949951171875,^GSPC
2016-09-30,2168.27001953125,^GSPC
2016-10-31,2126.14990234375,^GSPC
2016-11-30,2198.81005859375,^GSPC
2016-12-31,2238.840087890625,^GSPC
2017-01-31,2278.8701171875,^GSPC
2017-02-28,2363.639892578125,^GSPC
2017-03-31,2362.719970703125,^GSPC
2017-04-30,2387.260009765625,^GSPC
2017-05-31,2411.800048828125,^GSPC
2017-06-30,2423.409912109375,^GSPC
2017-07-31,2470.300048828125,^GSPC
2017-08-31,2471.64990234375,^GSPC
2017-09-30,2523.4549560546875,^GSPC
2017-10-31,2575.260009765625,^GSPC
2017-11-30,2647.580078125,^GSPC
2017-12-31,2735.695068359375,^GSPC
2018-01-31,2823.81005859375,^GSPC
2018-02-28,2713.830078125,^GSPC
2018-03-31,2680.9400634765625,^GSPC
2018-04-30,2648.050048828125,^GSPC
2018-05-31,2705.27001953125,^GSPC
2018-06-30,2760.780029296875,^GSPC
2018-07-31,2816.2900390625,^GSPC
2018-08-31,2901.52001953125,^GSPC
2018-09-30,2806.6300048828125,^GSPC
2018-10-31,2711.739990234375,^GSPC
2018-11-30,2760.169921875,^GSPC
2018-12-31,2506.85009765625,^GSPC
2019-01-31,2704.10009765625,^GSPC
2019-02-28,2784.489990234375,^GSPC
2019-03-31,2865.1600341796875,^GSPC
2019-04-30,2945.830078125,^GSPC
2019-05-31,2752.06005859375,^GSPC
2019-06-30,2866.219970703125,^GSPC
2019-07-31,2980.3798828125,^GSPC
2019-08-31,2978.5599365234375,^GSPC
2019-09-30,2976.739990234375,^GSPC
2019-10-31,3037.56005859375,^GSPC
2019-11-30,3134.1700439453125,^GSPC
2019-12-31,3230.780029296875,^GSPC
2020-01-31,3225.52001953125,^GSPC
2020-02-29,2905.0550537109375,^GSPC
2020-03-31,2584.590087890625,^GSPC
2020-04-30,2912.429931640625,^GSPC
2020-05-31,3006.3599853515625,^GSPC
2020-06-30,3100.2900390625,^GSPC
